zip,lat,lng,state
01473,42.549489,-71.913219,MA
01474,42.446396,-71.459405,MA
01475,42.661612,-72.047876,MA
01477,42.364807,-71.896868,MA
01501,42.184835,-71.947184,MA
01503,42.3129,-71.841656,MA
01504,42.114078,-71.799785,MA
01505,42.300037,-71.943458,MA
01506,42.19169,-72.105011,MA
01507,42.13277,-71.972627,MA
01508,42.109748,-72.079455,MA
01509,42.364807,-71.896868,MA
01510,42.413972,-71.687523,MA
01515,42.205311,-72.049907,MA
01516,42.113076,-71.891139,MA
01517,42.364807,-71.896868,MA
01518,42.106405,-72.114045,MA
01519,42.203944,-71.682862,MA
01520,42.336791,-71.845316,MA
01521,42.061063,-72.163991,MA
01522,42.264629,-71.795442,MA
01523,42.427188,-71.91177,MA
01524,42.238192,-72.012379,MA
01525,42.364807,-71.896868,MA
01526,42.364807,-71.896868,MA
01527,42.255642,-71.819961,MA
01529,42.124662,-71.846943,MA
01531,42.320938,-72.128644,MA
01532,42.322118,-71.64282,MA
01534,42.207191,-71.856807,MA
01535,42.275382,-72.089338,MA
01536,42.407556,-71.860402,MA
01537,42.166241,-71.891052,MA
01538,42.364807,-71.896868,MA
01540,42.109223,-71.855444,MA
01541,42.451926,-71.880057,MA
01542,42.220085,-71.914361,MA
01543,42.383516,-71.95463,MA
01545,42.286992,-71.715313,MA
01546,42.364807,-71.896868,MA
01550,42.129251,-72.031155,MA
01560,42.176544,-71.681912,MA
01561,42.443539,-71.686137,MA
01562,42.254837,-72.065612,MA
01564,42.366765,-71.939375,MA
01566,42.10273,-72.080996,MA
01568,42.175591,-71.603197,MA
01569,42.059736,-71.638438,MA
01570,42.1351,-71.994169,MA
01571,42.059189,-71.937037,MA
01580,42.364807,-71.896868,MA
01581,42.255222,-71.845865,MA
01582,42.364807,-71.896868,MA
01583,42.362783,-71.781215,MA
01585,42.235638,-72.172523,MA
01586,42.364807,-71.896868,MA
01588,42.166554,-71.899484,MA
01590,42.126575,-71.755193,MA
01601,42.265275,-71.879415,MA
01602,42.274595,-71.846966,MA
01603,42.245442,-71.839257,MA
01604,42.247955,-71.76678,MA
01605,42.288792,-71.796128,MA
01606,42.311834,-71.794465,MA
01607,42.226452,-71.792506,MA
01608,42.293501,-71.925696,MA
01609,42.282565,-71.827685,MA
01610,42.246483,-71.808915,MA
01611,42.239392,-71.878716,MA
01612,42.304675,-71.892875,MA
01613,42.293316,-71.801971,MA
01614,42.364807,-71.896868,MA
01615,42.364807,-71.896868,MA
01653,42.364807,-71.896868,MA
01654,42.364807,-71.896868,MA
01655,42.364807,-71.896868,MA
01701,42.446396,-71.459405,MA
01702,42.446396,-71.459405,MA
01703,42.446396,-71.459405,MA
01704,42.446396,-71.459405,MA
01705,42.446396,-71.459405,MA
01718,42.446396,-71.459405,MA
01719,42.446396,-71.459405,MA
01720,42.446396,-71.459405,MA
01721,42.446396,-71.459405,MA
01730,42.446396,-71.459405,MA
01731,42.446396,-71.459405,MA
01740,42.436043,-71.605916,MA
01741,42.446396,-71.459405,MA
01742,42.446396,-71.459405,MA
01745,42.293442,-71.502762,MA
01746,42.446396,-71.459405,MA
01747,42.127515,-71.533138,MA
01748,42.446396,-71.459405,MA
01749,42.446396,-71.459405,MA
01752,42.446396,-71.459405,MA
01754,42.446396,-71.459405,MA
01756,42.100352,-71.546961,MA
01757,42.147087,-71.528085,MA
01760,42.446396,-71.459405,MA
01770,42.446396,-71.459405,MA
01772,42.296842,-71.533229,MA
01773,42.446396,-71.459405,MA
01775,42.446396,-71.459405,MA
01776,42.446396,-71.459405,MA
01778,42.446396,-71.459405,MA
01784,42.446396,-71.459405,MA
01801,42.488595,-71.157271,MA
01803,42.504844,-71.201539,MA
01805,42.446396,-71.459405,MA
01806,42.446396,-71.459405,MA
01807,42.446396,-71.459405,MA
01808,42.446396,-71.459405,MA
01810,42.647991,-71.165685,MA
01812,42.647191,-71.184202,MA
01813,42.446396,-71.459405,MA
01815,42.446396,-71.459405,MA
01821,42.446396,-71.459405,MA
01822,42.446396,-71.459405,MA
01824,42.446396,-71.459405,MA
01826,42.446396,-71.459405,MA
01827,42.446396,-71.459405,MA
01830,42.792639,-71.072501,MA
01831,42.771095,-71.122054,MA
01832,42.789627,-71.126562,MA
01833,42.72377,-70.981298,MA
01834,42.751074,-71.021437,MA
01835,42.752844,-71.084301,MA
01840,42.70734,-71.161052,MA
01841,42.70979,-71.164402,MA
01842,42.635443,-70.879123,MA
01843,42.71037,-71.088303,MA
01844,42.73184,-71.186915,MA
01845,42.672835,-71.087689,MA
01850,42.446396,-71.459405,MA
01851,42.446396,-71.459405,MA
01852,42.446396,-71.459405,MA
01853,42.446396,-71.459405,MA
01854,42.446396,-71.459405,MA
01860,42.802441,-71.0896,MA
01862,42.446396,-71.459405,MA
01863,42.446396,-71.459405,MA
01864,42.581332,-71.083725,MA
01865,42.446396,-71.459405,MA
01866,42.446396,-71.459405,MA
01867,42.537065,-71.107172,MA
01876,42.446396,-71.459405,MA
01879,42.446396,-71.459405,MA
01880,42.499891,-71.068829,MA
01885,42.635443,-70.879123,MA
01886,42.446396,-71.459405,MA
01887,42.561782,-71.173888,MA
01888,42.446396,-71.459405,MA
01889,42.571633,-71.109646,MA
01890,42.454545,-71.148779,MA
01899,42.635443,-70.879123,MA
01901,42.461246,-70.946743,MA
01902,42.473195,-70.928593,MA
01903,42.635443,-70.879123,MA
01904,42.488896,-70.964694,MA
01905,42.469395,-70.972844,MA
01906,42.472112,-70.997794,MA
01907,42.513295,-70.905893,MA
01908,42.427296,-70.922442,MA
01910,42.454796,-70.974694,MA
01913,42.853539,-70.948211,MA
01915,42.565145,-70.853843,MA
01921,42.683256,-71.017403,MA
01922,42.763216,-70.92812,MA
01923,42.577188,-70.949245,MA
01929,42.62781,-70.780576,MA
01930,42.630011,-70.694179,MA
01931,42.635443,-70.879123,MA
01936,42.635443,-70.879123,MA
01937,42.635443,-70.879123,MA
01938,42.68571,-70.864132,MA
01940,42.533732,-71.028775,MA
